date,close
2013-08-12,106.6360016 
2013-08-13,109 
2013-08-14,112.5619965 
2013-08-15,109.9899979 
2013-08-16,108.9940033 
2013-08-17,113.5 
2013-08-18,113.5 
2013-08-19,119 
2013-08-20,121.2050018 
2013-08-21,123.3000031 
2013-08-22,121.1500015 
2013-08-23,118.5009995 
2013-08-24,120.0449982 
2013-08-25,122.1110001 
2013-08-26,120.0559998 
2013-08-27,126.5 
2013-08-28,122.6200027 
2013-08-29,122.3899994 
2013-08-30,133.4900055 
2013-08-31,135.3500061 
2013-09-01,138.3399963 
2013-09-02,135.8500061 
2013-09-03,136.7700043 
2013-09-04,126.7399979 
2013-09-05,126.4300003 
2013-09-06,119.1500015 
2013-09-07,124.1500015 
2013-09-08,121.6600037 
2013-09-09,127.1100006 
2013-09-10,125.9100037 
2013-09-11,135.25 
2013-09-12,133.1300049 
2013-09-13,134.9799957 
2013-09-14,129.2200012 
2013-09-15,130.3699951 
2013-09-16,131.7200012 
2013-09-17,131.6600037 
2013-09-18,131.4700012 
2013-09-19,129.6499939 
2013-09-20,127.0400009 
2013-09-21,127.4300003 
2013-09-22,129.1199951 
2013-09-23,125.9499969 
2013-09-24,127.25 
2013-09-25,128.2200012 
2013-09-26,128.3800049 
2013-09-27,133.7799988 
2013-09-28,134.7799988 
2013-09-29,137.3399963 
2013-09-30,133 
2013-10-01,132.1799927 
2013-10-02,114.1299973 
2013-10-03,123.6299973 
2013-10-04,129.0099945 
2013-10-05,128.5500031 
2013-10-06,129 
2013-10-07,126.9400024 
2013-10-08,126 
2013-10-09,130.6900024 
2013-10-10,130.5899963 
2013-10-11,130.8999939 
2013-10-12,135.1900024 
2013-10-13,138.1300049 
2013-10-14,140.5200043 
2013-10-15,145.2400055 
2013-10-16,142.5500031 
2013-10-17,146.25 
2013-10-18,155.9600067 
2013-10-19,172.4199982 
2013-10-20,174.6100006 
2013-10-21,182.2100067 
2013-10-22,193.7599945 
2013-10-23,213.6199951 
2013-10-24,198.2299957 
2013-10-25,186.6900024 
2013-10-26,177.3200073 
2013-10-27,196.4400024 
2013-10-28,198.5500031 
2013-10-29,204.3899994 
2013-10-30,199.9700012 
2013-10-31,204 
2013-11-01,206.1799927 
2013-11-02,206.2200012 
2013-11-03,215.0500031 
2013-11-04,229.1000061 
2013-11-05,245.2400055 
2013-11-06,262.5 
2013-11-07,296.4100037 
2013-11-08,338.1099854 
2013-11-09,339.1099854 
2013-11-10,326.6199951 
2013-11-11,342.4400024 
2013-11-12,360.3299866 
2013-11-13,407.3699951 
2013-11-14,420.2000122 
2013-11-15,417.9500122 
2013-11-16,440.2200012 
2013-11-17,492.1099854 
2013-11-18,703.5599976 
2013-11-19,584.6099854 
2013-11-20,590.8300171 
2013-11-21,722.4299927 
2013-11-22,771.4400024 
2013-11-23,797.8200073 
2013-11-24,774.25 
2013-11-25,799.1099854 
2013-11-26,928.0999756 
2013-11-27,1001.960022 
2013-11-28,1031.949951 
2013-11-29,1131.969971 
2013-11-30,1129.430054 
2013-12-01,955.8499756 
2013-12-02,1043.329956 
2013-12-03,1078.280029 
2013-12-04,1151.170044 
2013-12-05,1045.109985 
2013-12-06,829.4500122 
2013-12-07,698.2299805 
2013-12-08,795.8699951 
2013-12-09,893.1900024 
2013-12-10,988.5100098 
2013-12-11,878.4799805 
2013-12-12,873.2600098 
2013-12-13,892.5800171 
2013-12-14,872.5999756 
2013-12-15,876.1199951 
2013-12-16,705.9699707 
2013-12-17,682.1199951 
2013-12-18,522.7000122 
2013-12-19,691.960022 
2013-12-20,625.3200073 
2013-12-21,605.6599731 
2013-12-22,617.1799927 
2013-12-23,673.4099731 
2013-12-24,665.5800171 
2013-12-25,682.210022 
2013-12-26,761.9799805 
2013-12-27,735.0700073 
2013-12-28,727.8300171 
2013-12-29,745.0499878 
2013-12-30,756.1300049 
2013-12-31,754.0100098 
2014-01-01,771.4000244 
2014-01-02,802.3900146 
2014-01-03,818.7199707 
2014-01-04,859.5100098 
2014-01-05,933.5300293 
2014-01-06,953.289978 
2014-01-07,802 
2014-01-08,842.7199707 
2014-01-09,846.8599854 
2014-01-10,868.4799805 
2014-01-11,913.9500122 
2014-01-12,863.2199707 
2014-01-13,841.2000122 
2014-01-14,833.2700195 
2014-01-15,860.9000244 
2014-01-16,835.6300049 
2014-01-17,814.6400146 
2014-01-18,840 
2014-01-19,870.960022 
2014-01-20,870.2000122 
2014-01-21,863.9099731 
2014-01-22,845.5900269 
2014-01-23,822.039978 
2014-01-24,797.0700073 
2014-01-25,853.6099854 
2014-01-26,885.2800293 
2014-01-27,771.3900146 
2014-01-28,812.5100098 
2014-01-29,826 
2014-01-30,819.0300293 
2014-01-31,829.9199829 
2014-02-01,832.5800171 
2014-02-02,825.3699951 
2014-02-03,823.8300171 
2014-02-04,827.960022 
2014-02-05,811.9099731 
2014-02-06,781.5499878 
2014-02-07,712.4000244 
2014-02-08,673.9199829 
2014-02-09,682.9000244 
2014-02-10,681.0300293 
2014-02-11,672.1699829 
2014-02-12,651.7199707 
2014-02-13,605.2399902 
2014-02-14,661.9899902 
2014-02-15,650.9199829 
2014-02-16,616.6300049 
2014-02-17,626.2700195 
2014-02-18,626.5999756 
2014-02-19,623.0300293 
2014-02-20,556.1400146 
2014-02-21,574.1599731 
2014-02-22,605.4199829 
2014-02-23,605.8200073 
2014-02-24,546.3200073 
2014-02-25,538.710022 
2014-02-26,582.6900024 
2014-02-27,578.7700195 
2014-02-28,549.2600098 
2014-03-01,565.6099854 
2014-03-02,559.789978 
2014-03-03,667.7600098 
2014-03-04,666.7800293 
2014-03-05,665.5100098 
2014-03-06,663.8599854 
2014-03-07,629.1500244 
2014-03-08,617.4500122 
2014-03-09,636.960022 
2014-03-10,627.789978 
2014-03-11,634.1099854 
2014-03-12,632.0999756 
2014-03-13,638.1400146 
2014-03-14,628.7999878 
2014-03-15,636.1199951 
2014-03-16,631.1099854 
2014-03-17,622.3729858 
2014-03-18,614.8319702 
2014-03-19,609.8880005 
2014-03-20,588.7700195 
2014-03-21,571.4899902 
2014-03-22,565.039978 
2014-03-23,561.2719727 
2014-03-24,583.4119873 
2014-03-25,583.9169922 
2014-03-26,580.8270264 
2014-03-27,471.2390137 
2014-03-28,495.6659851 
2014-03-29,491.1719971 
2014-03-30,460.2730103 
2014-03-31,457.0010071 
2014-04-01,478.375 
2014-04-02,437.1400146 
2014-04-03,444.7179871 
2014-04-04,447.526001 
2014-04-05,461.9070129 
2014-04-06,460.4989929 
2014-04-07,449.4230042 
2014-04-08,453.0859985 
2014-04-09,442.7250061 
2014-04-10,365.1759949 
2014-04-11,420.946991 
2014-04-12,421.1159973 
2014-04-13,414.0629883 
2014-04-14,458.7869873 
2014-04-15,515.5859985 
2014-04-16,527.3950195 
2014-04-17,495.9630127 
2014-04-18,479.644989 
2014-04-19,501.5650024 
2014-04-20,498.1679993 
2014-04-21,495.7730103 
2014-04-22,487.9240112 
2014-04-23,491.303009 
2014-04-24,500.4649963 
2014-04-25,461.4490051 
2014-04-26,458.6010132 
2014-04-27,436.3900146 
2014-04-28,440.2850037 
2014-04-29,447.2090149 
2014-04-30,447.644989 
2014-05-01,457.7600098 
2014-05-02,449.3770142 
2014-05-03,437.7619934 
2014-05-04,436.4030151 
2014-05-05,433.4819946 
2014-05-06,428.9620056 
2014-05-07,438.8210144 
2014-05-08,440.1690063 
2014-05-09,449.4609985 
2014-05-10,454.4330139 
2014-05-11,438.8859863 
2014-05-12,441.4620056 
2014-05-13,440.67099 
2014-05-14,443.9719849 
2014-05-15,447.2520142 
2014-05-16,448.0580139 
2014-05-17,448.9030151 
2014-05-18,446.2640076 
2014-05-19,446.1809998 
2014-05-20,485.723999 
2014-05-21,491.769989 
2014-05-22,524.5789795 
2014-05-23,520.2219849 
2014-05-24,525.1380005 
2014-05-25,571.5880127 
2014-05-26,583.4240112 
2014-05-27,571.2440186 
2014-05-28,577.0620117 
2014-05-29,568.1799927 
2014-05-30,615.3250122 
2014-05-31,623.677002 
2014-06-01,630.2290039 
2014-06-02,660.617981 
2014-06-03,667.6049805 
2014-06-04,641.6140137 
2014-06-05,659.2579956 
2014-06-06,653.7020264 
2014-06-07,654.9689941 
2014-06-08,656.1400146 
2014-06-09,649.1589966 
2014-06-10,653.1500244 
2014-06-11,633.0200195 
2014-06-12,586.9520264 
2014-06-13,600.1630249 
2014-06-14,577.3579712 
2014-06-15,592.9370117 
2014-06-16,592.1879883 
2014-06-17,610.8640137 
2014-06-18,607.9580078 
2014-06-19,598.0709839 
2014-06-20,594.1459961 
2014-06-21,594.9920044 
2014-06-22,602.2730103 
2014-06-23,593.9840088 
